,Role,Company,Location,Contract,Salary,Job_description
73,Front Office Assistant,Northside Hospital,,,,"['Position Description Performs a variety of administrative, secretarial and clerical duties, which directly support patient care and practice personnel in the overall operation of the practice. Incumbent is expected to interpret and execute the duties and responsibilities of the job with only limited supervision and direction. Position Requirements REQUIRED: 1. 1 year clerical/secretarial experience preferably in a healthcare environment. 2. Excellent communication skills. 3. Ability to follow detailed instructions. 4. Basic computer skills PREFERRED: 1. Successful completion of course in Medical Terminology or commensurate experience 2. Proficient in the use and application of MS Office (Word, Excel and PowerPoint).  License/Certification Requirements: No  Work Hours: 7:15a-4:30p  Weekend Requirements: No  On-Call Requirements: No']"
74,Insurance Verification Rep,"HOME CARE DELIVERED, INC.",,,,"[""Are you looking for a rewarding career with a growing company with advancement opportunities? Come join our team at Home Care Delivered, working from home! Home Care Delivered, established in 1996, is a fast growing medical supply company, providing medical supplies to customers in home and community based settings. We are looking for candidates who are career-minded, top-performers and who have the skill set and ability to develop, drive, implement, and deliver superior results. Job Summary Performs insurance verification to determine a patient's coverage by submitting inquiries online or by contacting an insurance via telephone. Essential Duties Performs eligibility checks via batches to ensure that patient orders can ship and bill without errors. Verifies a patient's insurance via telephone and/or online for individual inquiries. Updates patient file status in all appropriate systems, notates patient's account, and reassigns orders to the correct department and/or person. Works independently and/or collaboratively to expediently answer inquiries and resolve issues within regulatory and Company requirements to ensure customer retention and satisfaction, escalating issues whenever appropriate. Achieves 100% of assigned MBOs and/or Goals. Performs all other duties as assigned.  Education Associates General Studies preferred High School Diploma required Experience One or more years of Insurance Verification experience.  HCD’s Values Inspire-A high performing team united by a common purpose. Innovate – To relentlessly collaborate and improve. Be Compassionate-By always being kind, caring and respectful. Show Gratitude-By honoring our teammates, partners & customers. Act Boldly-through dreaming big and moving with courage.""]"
75,"Full-Time - Weekends - Customer Service Representative at Madison Heights, MI cALL Center",Seasons Hospice & Palliative Care,,,,"[""Come Join the Seasons Team: Seasons Hospice & Palliative Care is seeking a cALL Center Customer Service Representative to join our team of professionals in Madison Heights, MI. We make a difference every day to patients and families coping with end of life illness in creating a center of excellence in hospice care.  Overview: The cALL Center Customer Service Representative is responsible for coordinating caller information, including referrals and inquiries about hospice services to the appropriate Triage Center personnel. Serves as a member on the Triage Team for building and maintaining provider relationships.  Qualifications: Demonstrated commitment to hospice philosophy of care.  Excellent verbal and written communication skills.  Strong organizational skills and good computer knowledge.  Demonstrated ability to work closely with a variety of people while effectively using problem solving skills.  Demonstrated commitment to Seasons Hospice's philosophy of care, values, mission statement and organizational culture.""]"
76,Care Coordinator,EK Health Services Inc,,,,"[""Description:  Reporting to a Case Management Supervisor, a Care Coordinator will work closely with the Case Managers for reporting, care coordination phone calls, and other administrative duties. The Care Coordinator will increase efficiency of operations by providing general customer support duties and by supporting the nursing and operations staff in a team environment. Work Specifics: Standard, eight (8) hour workday, Monday-Friday, remote Responsibilities:Provide accurate information to callers based on customer requests; triaging telephone calls to direct the caller for clinical consultation and for case managersEnter new claims data into the claims management system accurately; maintain data integrity in scanning, uploading, indexing and data entrySupport clinical staff through the completion of components of case management, including but not limited to appointment scheduling, diagnostic test scheduling, requesting medical records, faxing materials, mailing/e-mailing already identified education materials, scheduling delivery of already negotiated and approved DME, and facilitating claims adjudicationProfessional interaction with Case Managers, Insurance Adjusters and other medical professionalsAssist with process, product and technology improvement projectsAssist with quality improvement projects as neededPerform inter-departmental administrative support as neededProvide support to the CM Intake Coordinator as neededOther duties as assigned . Requirements: Experience in a medical office environment preferredAS/AA degree or two (2) years of college preferredProfessional demeanor with excellent written and oral communication skillsStrong organization skillsMust be computer literate with a high comfort level with computer programs (MS Office, Email and Internet)High comfort level with office equipment: fax machines, copy machines, and scannersMust be Punctual and DependableAble to maintain focus and positive attitude in a fast-paced officeAbility to work with minimal supervisionAbility to meet deadlines in a high pressure, time sensitive environmentMust be able to lift up to 25 lbsSit (approx. 75-100% of the time), stand (approx. 0-25% of the time), type (approx. 75-100% of the time) and do the job with or without reasonable accommodation. EK Health Services has built a reputation for offering superior, goal-oriented Workers' Compensation case management, utilization review, and bill review services. Our emphasis on medical excellence, superior service, impartial reporting, and case resolution is the driving force behind our consistent annual growth. Employees are provided with competitive compensation and benefits, including but not limited to medical, dental, vision, PTO, and 401k. Please visit our website for more information at www.ekhealth.com. EK is an equal opportunity employer and makes all employment decisions on the basis of merit. EK does not practice, tolerate, or condone unlawful discrimination based on any protected status or the perception of such status.""]"
77,Patient Scheduling Representative,T2 Flex Force,,,,"['Are you interested in stepping into the healthcare industry? Do you have a passion for helping others and providing the highest level of customer service? Want to join a great company and work from home?  If so, we want you on our team at T2 Flex Force ! We are looking for full-time Patient Scheduling Representatives to provide call center-based scheduling, registration and patient access services for one of our healthcare clients. Our goal is to increase patient access and revenue, decrease abandonment rates, and improve patient and customer satisfaction. Please send all resumes to recruitment@t2flexforce.com .  This is a full-time, temporary W-2 contracted position. All employees will be given laptops and equipment to fulfill the role. This is a remote/work from home position. Employees must have adequate internet to support the IT systems. Responsibilities  Collecting all required patient information, including scheduling, pre-registration and insurance verification  Answering, screening, and processing requests and telephone inquiries with adherence to HIPAA and HITECH confidentiality policies and procedures  Obtaining and accurately entering necessary demographic, clinical and billing information  Explaining processes, forms and procedures to callers, ensuring that patients understand required documentation requirements and subsequent measures  Collecting copays and payment information when necessary  Processing required information according to client policies and procedures  Providing professional, compassionate and concierge-like service to patients  Requirements  Bachelor’s Degree preferred  1-3 years of customer service experience  Ability to maintain the highest level of confidentiality  Excellent attention to detail and a commitment to accuracy  Exceptional interpersonal, written and oral communication skills  Knowledge of medical terminology is a plus  Must be flexible and adaptive to a fast-paced call center environment  Strong computing and software skills (PC, MS Word, Excel, Outlook)  Strong work ethic, reliability and dependability  Team player, self-motivated, compassionate and patient care centered  Perks  Health, vision and dental benefits for those who qualify  Career development advancement  Extensive training and learning opportunities  Knowing that you make a difference every day  Positive work culture and a great team of people   T2 Flex Force is a T2 Tech Group company  ']"
78,Admitting Representative I,Hendrick Health,,,,"['JOB SUMMARY Greets and interviews patients. Initiates patient records which involves obtaining financial, demographic and medical information. Explains required forms and obtains signatures. Collects payment. JOB REQUIREMENTS Minimum Education High School or equivalent Minimum Work Experience No previous experience Required Licenses/Certifications Required Skills, Knowledge, and Abilities Ability to multitask Ability to prioritize Professional appearance and demeanor Maintain patient charts. Maintain logs  Location: Hendrick Health · BW Admissions Schedule: Full Time, Day Shift, M-F 6a-2:30pm']"
79,Billing & Enrollment Representative,Humana,,,,"['The Billing & Enrollment Representative 1 is responsible for the accurate enrollment and billing process for an insurance organization. The Billing & Enrollment Representative 1 performs basic administrative/clerical/operational/customer support/computational tasks. Typically works on routine and patterned assignments. Responsibilities The Billing & Enrollment Representative will assist members in a fast-paced inbound call center environment. You will be responsible for: Processing enrollments, payments, address changes or other enrollment related tasks. All associates must meet established performance metrics including quality, schedule compliance, production standards, and attendance. Servicing members by telephone to enroll them in the TRICARE program. Educating members and providing appropriate solutions and alternatives regarding plan benefits. The start date for this position will be January 4, 2021. This is an interim Work-At-Home opportunity with re-entry into the physical office based on CDC recommendations. Humana office address is listed below: 8123 Data Point Drive San Antonio, TX 78229  Required Qualifications High school diploma or GED 2+ years of customer service experience Fluency in computer navigation, email, chats, efficient typing skills, and toggling across multiple databases while engaging with the caller. Must have excellent interpersonal skills and the ability to organize simultaneous tasks; and meet monthly call and performance metrics. Must work an 8-hour shift between the hours of 9:30 am - 6 pm CST Monday through Friday with overtime based on business need. Mandatory 8-week training program Monday – Friday 8:00 am to 4:30 pm. This position requires a government security clearance (eQIP - Electronic Questionnaire for Investigation Processing), must be a US Citizen for consideration Must live within 50 miles of the Humana office address in San Antonio, TX (see above). Must have accessibility to high speed DSL or cable modem for a home office (Satellite internet service is NOT allowed for this role); and recommended speed for optimal performance from Humana systems is 10M x 1M Preferred Qualifications College degree (Associate’s or Bachelor’s) highly preferred Knowledge of customer service principles and practices – formal training or experience Additional Information Benefit package that starts your 1st day of employment Robust 401k plan through Charles Schwab. Eligibility for associate wellness and rewards program Opportunity to learn the industry and build professional career Tuition Reimbursement & Student Loan Refinancing Scheduled Weekly Hours 40']"
80,Healthcare Analyst - Junior,Prometheus Federal Services,,,,"['Analyst Prometheus Federal Services (PFS), a public sector firm, looking for a Healthcare Analyst in Washington, DC to work closely with and support a Federal agency client. Duties and Responsibilities The Analyst supports Federal agency clients in tasks requiring program planning, audits, and evaluations related to various healthcare programs and projects. Tasks may include: Supporting program analysis, strategic planning, integrated master scheduling, event planning, meeting facilitation, policy, metrics, financial management systems, data compilation and presentation, evaluation, research, and risk management. Minimum Qualifications Bachelor’s degree in Public Health, Public Administration, Business or other similar field 1-3 years of experience Excellent oral and written communication skills Highly proficient with MS Office Suite (Word, Excel, Power Point, Visio, etc.) Excellent written and verbal communications skills Proven ability to work both independently and collaboratively Authorized to work in the U.S. without sponsorship indefinitely Ability to obtain a Public Trust if required Preferred Qualifications Experience with Department of Veterans Affairs highly preferred Healthcare consulting experience highly preferred All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Powered by JazzHR M7C0KM7giM']"
81,Customer Service Representative I,Santa Clara Family Health Plan,,,,"['FLSA Status: Non-Exempt Department: Customer Service Reports To: Supervisor, Customer Service Salary Range: $21.70 - $31.47 Employee Unit: Employees in this classification are represented by Service Employees International Union (SEIU) Local No. 521.  GENERAL DESCRIPTION OF POSITION The Customer Service Representative I answers inbound calls and makes outbound calls to support Customer Service Department operations in a manner that maintains compliance with Medicare and Medi-Cal regulatory requirements and achieves Call Center service-level objectives.  ESSENTIAL DUTIES AND RESPONSIBILITIES To perform this job successfully, an individual must be able to satisfactorily perform each essential duty listed below. Act as the primary point of contact and liaison for SCFHP members and providers contacting the plan regarding general inquiries, concerns or requests for information. Develop a general understanding of all member facing materials, communications and interactions and be prepared to respond appropriately to follow up calls. Answer inbound calls and/or place outbound calls in a high call volume environment and work directly with members and providers to accurately and completely answer inquiries involving SCFHP program services and benefits. Follow established guidelines and resources to respond to member and provider inquiries and resolve concerns in an accurate, timely, professional, and culturally competent manner. Intake, handle and coordinate member grievances, appeals and billing issues, escalating to the Grievance and Appeals department, when necessary. Educate members and providers on eligibility, and medical and pharmacy benefits and how to access services in a manner that achieves excellent service standards and maintains high customer satisfaction. Use listening skills and judgment to appropriately categorize and accurately document all contacts and follow-up actions regarding member and provider communications and activities in accordance with established guidelines. Appropriately handle member and provider requests through alternative channels such as e-mail, voicemail, fax, walk-in, etc. in accordance with established procedures. Triage member and provider requests or inquiries for other departments. Conduct member surveys as assigned in accordance with established guidelines. Attend and actively participate in daily, weekly, and monthly departmental meetings, in-services, training and coaching sessions. Identify member/provider issues and trends and report relevant information to management. Perform other related duties as required or assigned.  REQUIREMENTS – Required (R) Desired (D) The requirements listed below are representative of the knowledge, skill, and/or ability required or desired.  High School Diploma or GED. (R) Minimum one year of experience in Customer Service or Call Center role, preferably within a Health Care, Public Assistance or Human Services programs. (R) Prior experience with managed care plans, Medi-Cal and Medicare programs, and working with underserved populations. (D) Ability to meet Key Performance Indicators by participating in and achieving the standards of the Customer Service Call Center Quality Program. (R) Spanish, Vietnamese, Chinese, or Tagalog language bi-lingual skills. (D) Working knowledge of and the ability to efficiently operate all applicable computer software including computer applications, such as Outlook, Word and Excel. (R) Ability to use a keyboard with moderate speed and a high level of accuracy. (R) Excellent communication skills including the ability to express oneself clearly and concisely when providing service to SCFHP Plan members and providers over the telephone, in person or in writing. (R) Ability to think and work effectively under pressure and accurately prioritize and complete tasks within established timeframes. (R) Ability to assume responsibility and exercise good judgment when making decisions within the scope of the position. (R) Ability to maintain confidentiality. (R) Ability to comply with all SCFHP policies and procedures. (R) Ability to perform the job safely with respect to others, to property, and to individual safety. (R)  WORKING CONDITIONS Generally, duties are primarily performed in an office environment while sitting or standing at a desk. Incumbents are subject to frequent contact with and interruptions by co-workers, supervisors, and plan members or providers in person, by telephone, and by work-related electronic communications.  PHYSICAL REQUIREMENTS Incumbents must be able to perform the essential functions of this job, with or without reasonable accommodation: Mobility Requirements: regular bending at the waist, and reaching overhead, above the shoulders and horizontally, to retrieve and store files and supplies and sit or stand for extended periods of time; (R) Lifting Requirements: regularly lift and carry files, notebooks, and office supplies that may weigh up to 5 pounds; (R) Visual Requirements: ability to read information in printed materials and on a computer screen; perform close-up work; clarity of vision is required at 20 inches or less; (R) Dexterity Requirements: regular use of hands, wrists, and finger movements; ability to perform repetitive motion (keyboard); writing (note-taking); ability to operate a computer keyboard and other office equipment (R) Hearing/Talking Requirements: ability to hear normal speech, hear and talk to exchange information in person and on telephone; (R) Reasoning Requirements: ability to think and work effectively under pressure; ability to effectively serve customers; decision making, maintain a concentrated level of attention to information communicated in person and by telephone throughout a typical workday; attention to detail. (R)  EOE']"
82,Front Office Assistant,Northside Hospital,,,,"['Position Description Performs a variety of administrative, secretarial and clerical duties, which directly support patient care and practice personnel in the overall operation of the practice. Incumbent is expected to interpret and execute the duties and responsibilities of the job with only limited supervision and direction. Position Requirements REQUIRED: 1. 1 year clerical/secretarial experience preferably in a healthcare environment. 2. Excellent communication skills. 3. Ability to follow detailed instructions. 4. Basic computer skills PREFERRED: 1. Successful completion of course in Medical Terminology or commensurate experience 2. Proficient in the use and application of MS Office (Word, Excel and PowerPoint).  License/Certification Requirements: No  Work Hours: 7:15a-4:30p  Weekend Requirements: No  On-Call Requirements: No']"
83,"Business Operations Analyst, Healthcare Eligibility Solutions - US Remote",Performant Financial Corporation,,,,"['The Healthcare Eligibility Solutions Business Operations Analyst develops business analytics and reporting for Performant’s Healthcare Services eligibility-related solutions that enable the business to operate efficiently and drive optimal customer and financial results. This position may also support new client implementations and existing programs with requirements gathering related to eligibility data.  Develops core operational analytics processes and tools for the applicable customers and business lines that can be leveraged for monitoring, trending and forecasting across multiple business lines. Presents results from large data sets in a coherent and clear format, tailored for the audience as appropriate to assist business leads and executive with understanding TPL data. Conducts a variety of data analysis for intelligent insights using subject matter knowledge, independent judgement, technical savvy and analytical expertise. Develops custom queries and reporting, conducts research, analyzes trends and activities and presents data and findings based upon business needs and as need to identify opportunities, root causes of issues and to support business decisions and strategies. Assists technical and business leads with requirements gathering, documentation, and project management for new implementations and existing program changes. Adheres to all company, departmental and client policies, procedures, and requirements. Maintains clearances and licenses as required for position based upon assignment. Completes assigned training on time and with acceptable scores. Demonstrates understanding of training materials and applies knowledge in appropriate situations. Perform other incidentals and related duties as required and assigned.   Required Skills and Knowledge:   Demonstrated success applying techniques for manipulation and analysis of very large data sets Skilled at developing reports or analytic queries directly with back-end databases Knowledge of and ability to work with large volumes of health care eligibility and claims data Experience with Medicaid / Medicare / Other TPL business models and products Strong system skills with ability to quickly develop expertise in new systems and applications Advanced skills in Excel, Access and/or other data analysis applications Working knowledge of SQL Intermediate skills utilizing Word, PowerPoint and other presentation and document tools. Professional verbal and written communication with good presentation skills Able to work independently and meet deadlines with minimal supervision Strong problem solving and communication (written and oral) skills. Critical thinker with sharp problem solving skills and analytical ability Ability to produce results and maintain positive attitude in fast paced, dynamic environment Able to work independently and meet deadlines with minimal supervision Completion of Teleworker Agreement upon hire, and adherence to the Agreement (and related policies and procedures) including, but not limited to: able to navigate computer and phone systems as a user to work remote independently using on-line resources, must have high-speed internet connectivity, appropriate workspace able to be compliant with HIPAA, safety & ergonomics, confidentiality, and dedicated work focus without distractions during work hours.   Physical Requirements:  Performs duties in a busy standard office environment with moderate noise level. (or home-based Telework environment in accordance with Company policies and procedures). Sits or stands at a desk, reaching as needed to use office equipment. Makes and returns calls using an office phone system or company issued cellular phone. Views a computer monitor, types on a keyboard and uses a mouse. Reads and comprehends information in electronic (computer) or paper form (written/printed). Types frequently, but not constantly, using a keyboard and mouse. Occasionally lifts/carries/pushes/pulls up to 10 pounds. Travel occasionally as may be required  Education and Experience:   Bachelor’s degree in relevant field or equivalent combination of education and experience. 2+ years relevant experience working with healthcare eligibility data Experience with data modeling and analysis   Other Requirements:  Drug/Alcohol Free Workplace: Performant Financial Corporate is committed to maintaining a Drug and Alcohol Free Workplace. Candidates that have been offered employment will be required to submit and successfully pass a drug and alcohol screening. Drug and alcohol screening for current employees may be performed in certain circumstances in accordance with company policy and applicable laws.  Performant is a government contractor and has specific client requirements. Must submit to and pass pre-employment (and during employment) background check, including, but not limited to, criminal background checks; must not have any felony convictions or specific misdemeanors, nor on state/federal debarment lists. Must submit to and pass drug screen. Performant is a government contractor. Certain client assignments for this position may require additional background and/or clearances.  Employment VISA Sponsorship is not available for this position and authorization to work in the United States is required prior to employment.  Remote work may be available for this position. Job Profile is subject to change at any time.  EEO - Performant Financial Corporation is an Equal Opportunity Employer.  Performant Financial Corporation is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, ancestry, age, religion, gender, gender identity, sexual orientation, pregnancy, age, physical or mental disability, genetic characteristics, medical condition, marital status, citizenship status, military service status, political belief status, or any other consideration made unlawful by law.  NO AGENCY SUBMISSIONS WITHOUT PERFORMANT AUTHORIZED AGENCY AGREEMENT AND APPROVED PERFORMANT JOB ORDER']"
84,Temporary Call Center/Data Entry Support,Crossing Healthcare,,,,"['Position Summary The Temporary Call Center/Data Entry Support is responsible for receiving calls, obtaining pertinent information and scheduling appointments for COVID-19 testing.  Position Status This is a temporary position, non-exempt position, reporting to the Team Lead.  Qualifications Education and Experience High School Diploma or equivalent  Competencies Ability to follow established procedures and maintain high level of organization Ability to learn reasonably quickly Ability to maintain confidentiality Ability to remain calm under stressful conditions Ability to work well in teams Demonstrates high level of professionalism Proficient in use of computers High level of interest in working with people and/or data  Physical Requirements Pleasant speaking voice Low physical exertion required Long periods of sitting  Essential Duties & Responsibilities Access web-site locations to obtain additional data Obtain and record patient data accurately and per protocol Answer telephone professionally Complete tasks in timely manner Performs other clerical tasks as assigned']"
85,Investment Banking - Healthcare - Analyst,"JPMorgan Chase Bank, N.A.",,,,"[""Starting your career in Investment Banking Division as an Analyst, you will be a key player in the execution of the firm's business. You will work with expert professionals at the heart of a leading global investment bank. Senior bankers will get to know you - both as a person and as a valued member of a winning team. You will experience training, hands-on learning opportunities, continuous mentoring and feedback, and numerous development opportunities. You will use your related experience to contribute to the firm's M&A execution and capital raising capabilities while helping build J.P. Morgan's franchise and reputation in the marketplace. You will develop strong functional skills in the major areas of investment banking and become a senior client executive who is capable of generating and executing your own transactions. Joining here means you'll become part of our inclusive teams and culture, unified by the firm's mission and commitment to success. This role requires a wide variety of strengths and capabilities, including:Prior work experience in an investment banking front office, or related, role.Strong accounting, finance, quantitative and business writing skills.A well-rounded academic background from a top tier educational institution.Understands transaction cycle and the steps in the process and is execution oriented.Impeccable communication details with the ability to effectively interact with senior professionals, clients and key stakeholders in other line of business.Self-directed, highly motivated, and able to work independently Investment Banking (GIB) Within Investment Banking, the firm works with a broad range of issuer clients, including corporations, institutions and governments, to provide comprehensive strategic advice, capital raising and risk management expertise. In-depth, industry-specific expertise and regional market acumen enable our industry coverage teams to serve the evolving needs of clients around the world. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term relationships by taking a holistic and forward-looking view on our relationships, and identifying ways to help clients achieve their most important business objectives. About J.P. Morgan's Corporate & Investment Bank J.P. Morgan's Corporate & Investment Bank is a global leader across banking, markets and investor services. The world's most important corporations, governments and institutions entrust us with their business in more than 100 countries. With $24 trillion of assets under custody and $420 billion in deposits, the Corporate & Investment Bank provides strategic advice, raises capital, manages risk and extends liquidity in markets around the world.JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management. We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs. Equal Opportunity Employer/Disability/Veterans""]"
86,Patient Care Coordinator - Part Time 10:30pm-6:30am (Sat & Sun),Landmark Health,,,,"['Overview:  Do you want to make a difference in healthcare? Landmark Health was created to transform how healthcare is delivered to the most medically vulnerable members in our community. Our medical group provides home-based medical care to chronically ill patients, many of whom are frail, elderly and ill-equipped to navigate our overwhelming healthcare system. Because many of our patients are frail and elderly, we deliver care primarily in the comfort of their home. Our Program is also offered to eligible patients at no incremental financial cost to them. We are not a fee-for-service practice; we benefit economically only if we deliver high-quality patient outcomes and satisfaction. As a result, our clinical teams can spend quality-time caring for a smaller number of patients, giving all patients the space, respect, compassion and care they deserve. Our model is finding success throughout the country; we are now the nation’s largest risk-based, in-home medical group. At Landmark, our interdisciplinary teams collaboratively manage our complex patient panels. These teams are led by Physicians, Nurse Practitioners, and Physician Assistants, with supporting care provided by RN Nurse Care Managers, Social Workers, Pharmacists, Behavioral Health and other employed team members.  The Patient Care Coordinator is responsible for maintaining appropriate call coverage for Landmark Health’s patient facing phone lines while also contributing to administrative tasks necessary to support the Landmark clinical model.  Position can be located in any of the following states: AR, CA, KS, KY, LA, MA, MS, MO, NY, NC, OH, OR, PA, RI, WA Responsibilities: Provide superlative and empathetic telephonic customer service for Landmark patients Actively listen and probe patients in a professional and timely manner to understand and evaluate patient’s need, specifically whether the need is clinical or administrative Warm-transfer calls to Landmark clinical staff for clinically escalated situations Communicate and collaborate with members of the Landmark interdisciplinary team Utilize critical thinking and effective communications to help connect the value of the Landmark program to patients in need of more information Document non-emergent patient interactions across Landmark’s various communication methods Manage the scheduling process for patients wanting to schedule new visits or reschedule existing ones Ad hoc administrative tasks as assigned Employees in the position can expect to be on the phone up to 90% of their work shift and complete other essential function on an as-needed basis Full time and part-time roles available, with flexibility for changing shift coverage over time. Shifts are most mostly outside of normal business hours: first shift (6 am - 11 am), third shift (5 pm – 1 am), and weekends (9 am – 11 pm). Qualifications: HS Diploma or GED equivalent; Bachelor’s degree preferred Experience with escalated customer service issue resolution; experience with following triage protocol a plus 2+ years in a call center environment; health care experiences a plus 1+ year of healthcare background with medical terminology and familiarly of clinical issues Critical thinking skills required for success in role Knowledge of MS Office products; typing speed of 40+ WPM preferred Must reside within 60 miles of a Landmark facility']"
87,Insurance Verification Rep,"HOME CARE DELIVERED, INC.",,,,"[""Are you looking for a rewarding career with a growing company with advancement opportunities? Come join our team at Home Care Delivered, working from home! Home Care Delivered, established in 1996, is a fast growing medical supply company, providing medical supplies to customers in home and community based settings. We are looking for candidates who are career-minded, top-performers and who have the skill set and ability to develop, drive, implement, and deliver superior results. Job Summary Performs insurance verification to determine a patient's coverage by submitting inquiries online or by contacting an insurance via telephone. Essential Duties Performs eligibility checks via batches to ensure that patient orders can ship and bill without errors. Verifies a patient's insurance via telephone and/or online for individual inquiries. Updates patient file status in all appropriate systems, notates patient's account, and reassigns orders to the correct department and/or person. Works independently and/or collaboratively to expediently answer inquiries and resolve issues within regulatory and Company requirements to ensure customer retention and satisfaction, escalating issues whenever appropriate. Achieves 100% of assigned MBOs and/or Goals. Performs all other duties as assigned.  Education Associates General Studies preferred High School Diploma required Experience One or more years of Insurance Verification experience.  HCD’s Values Inspire-A high performing team united by a common purpose. Innovate – To relentlessly collaborate and improve. Be Compassionate-By always being kind, caring and respectful. Show Gratitude-By honoring our teammates, partners & customers. Act Boldly-through dreaming big and moving with courage.""]"
88,"Patient Care Coordinator - Part Time 3pm-9pm (Wed, Thurs, Fri, Sat)",Landmark Health,,,,"['Overview:  Do you want to make a difference in healthcare? Landmark Health was created to transform how healthcare is delivered to the most medically vulnerable members in our community. Our medical group provides home-based medical care to chronically ill patients, many of whom are frail, elderly and ill-equipped to navigate our overwhelming healthcare system. Because many of our patients are frail and elderly, we deliver care primarily in the comfort of their home. Our Program is also offered to eligible patients at no incremental financial cost to them. We are not a fee-for-service practice; we benefit economically only if we deliver high-quality patient outcomes and satisfaction. As a result, our clinical teams can spend quality-time caring for a smaller number of patients, giving all patients the space, respect, compassion and care they deserve. Our model is finding success throughout the country; we are now the nation’s largest risk-based, in-home medical group. At Landmark, our interdisciplinary teams collaboratively manage our complex patient panels. These teams are led by Physicians, Nurse Practitioners, and Physician Assistants, with supporting care provided by RN Nurse Care Managers, Social Workers, Pharmacists, Behavioral Health and other employed team members.  The Patient Care Coordinator is responsible for maintaining appropriate call coverage for Landmark Health’s patient facing phone lines while also contributing to administrative tasks necessary to support the Landmark clinical model.  Position can be located in any of the following states: AR, CA, KS, KY, LA, MA, MS, MO, NY, NC, OH, OR, PA, RI, WA Responsibilities: Provide superlative and empathetic telephonic customer service for Landmark patients Actively listen and probe patients in a professional and timely manner to understand and evaluate patient’s need, specifically whether the need is clinical or administrative Warm-transfer calls to Landmark clinical staff for clinically escalated situations Communicate and collaborate with members of the Landmark interdisciplinary team Utilize critical thinking and effective communications to help connect the value of the Landmark program to patients in need of more information Document non-emergent patient interactions across Landmark’s various communication methods Manage the scheduling process for patients wanting to schedule new visits or reschedule existing ones Ad hoc administrative tasks as assigned Employees in the position can expect to be on the phone up to 90% of their work shift and complete other essential function on an as-needed basis Full time and part-time roles available, with flexibility for changing shift coverage over time. Shifts are most mostly outside of normal business hours: first shift (6 am - 11 am), third shift (5 pm – 1 am), and weekends (9 am – 11 pm). Qualifications: HS Diploma or GED equivalent; Bachelor’s degree preferred Experience with escalated customer service issue resolution; experience with following triage protocol a plus 2+ years in a call center environment; health care experiences a plus 1+ year of healthcare background with medical terminology and familiarly of clinical issues Critical thinking skills required for success in role Knowledge of MS Office products; typing speed of 40+ WPM preferred Must reside within 60 miles of a Landmark facility']"
